specimen_label,site_name,date_cest,method,method_repeat,sex,stage,id_confidence,suborder,family,subfamily,genus,species
TOR03 20210919 H1 C001,TOR03,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Gomphoceridius,Gomphoceridius brevipennis
TOR03 20210919 H1 C002,TOR03,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Gomphoceridius,Gomphoceridius brevipennis
TOR03 20210919 H1 C003,TOR03,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Gomphoceridius,Gomphoceridius brevipennis
TOR03 20210919 H1 C005,TOR03,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Gomphoceridius,Gomphoceridius brevipennis
TOR03 20210919 H1 C006,TOR03,2021-09-19,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Gomphoceridius,Gomphoceridius brevipennis
BES01 20211004 H1 C003,BES01,2021-10-04,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Calliptaminae,Calliptamus,Calliptamus italicus
BES01 20211004 H1 C005,BES01,2021-10-04,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Oedipodinae,Oedipoda,Oedipoda caerulescens
BES01 20211004 H1 C006,BES01,2021-10-04,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Oedipodinae,Oedipoda,Oedipoda caerulescens
BES01 20211004 H1 C007,BES01,2021-10-04,Hand,1,Male,Adult,Confirmed,Caelifera,Acrididae,Oedipodinae,Oedipoda,Oedipoda caerulescens
BES01 20211004 H1 C008,BES01,2021-10-04,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Oedipodinae,Oedipoda,Oedipoda caerulescens
BES01 20211004 H1 C010,BES01,2021-10-04,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Euchorthippus,Euchorthippus elegantulus
TOR09 20210919 H1 C001,TOR09,2021-09-19,Hand,1,Female,Adult,Confirmed,Caelifera,Acrididae,Gomphocerinae,Stauroderus,Stauroderus scalaris
TOR09 20210919 H1 C008,TOR09,2021-09-19,Hand,1,Female,Nymph,Confirmed,Caelifera,Acrididae,Gomphocerinae,,
