site_name,date_cest,start_time_cest,end_time_cest,method,method_repeat,cloud_coverage_start,wind_start,rain_start,cloud_coverage_end,wind_end,rain_end
TOR08,2021-06-16,16:25:00,16:48:00,Net,1,6,0,0,6,0,0
TOR08,2021-07-01,14:17:00,14:28:00,Net,1,2,2,0,2,2,0
TOR08,2021-09-19,15:41:00,15:44:00,Net,1,0,2,0,0,3,0
TOR08,2021-09-19,15:45:00,15:49:00,Hand,1,0,3,0,0,1,0
TOR08,2021-10-05,15:38:00,15:42:00,Net,1,5,3,0,5,3,0
TOR08,2021-10-05,15:42:00,15:46:00,Hand,1,5,3,0,5,3,0
TOR09,2021-06-16,17:39:00,17:58:00,Net,1,8,0,0,8,0,0
TOR09,2021-07-01,14:59:00,15:17:00,Net,1,2,2,0,2,2,0
TOR09,2021-09-19,16:13:00,16:18:00,Net,1,0,0,0,0,0,0
TOR09,2021-09-19,16:19:00,16:29:00,Hand,1,0,1,0,0,2,0
TOR09,2021-10-05,16:11:00,16:14:00,Net,1,7,2,0,7,2,0
TOR09,2021-10-05,16:15:00,16:21:00,Hand,1,7,2,0,7,2,0
TOR10,2021-06-29,11:52:00,12:02:00,Net,1,0,1,0,0,1,0
TOR10,2021-09-14,13:04:00,13:07:00,Net,1,3,0,0,3,0,0
TOR10,2021-09-14,13:11:00,13:21:00,Hand,1,3,0,0,3,0,0
TOR10,2021-10-04,16:36:00,16:40:00,Net,1,1,0,0,1,0,0
TOR10,2021-10-04,16:42:00,16:50:00,Hand,1,1,0,0,1,0,0
